year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2040,Pakistan,Asia,Base,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Pakistan,Asia,Accelerated,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Pakistan,Asia,Conservative,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Pakistan,Asia,Base,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Pakistan,Asia,Accelerated,3.4,0.86,25.61,16.01,0.0,0.0,3.4,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Poland,Europe,Conservative,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Poland,Europe,Base,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Poland,Europe,Accelerated,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Poland,Europe,Conservative,0.713,0.86,5.37,3.07,0.0,0.0,0.713,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Poland,Europe,Base,0.972,0.86,7.32,4.18,0.0,0.0,0.972,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Poland,Europe,Accelerated,1.231,0.86,9.27,5.3,0.0,0.0,1.231,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Poland,Europe,Conservative,0.713,0.86,5.37,3.07,0.0,0.0,0.713,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Poland,Europe,Base,0.972,0.86,7.32,4.18,0.0,0.0,0.972,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Poland,Europe,Accelerated,1.231,0.86,9.27,5.3,0.0,0.0,1.231,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Romania,Europe,Conservative,1.3,0.86,9.79,15.07,0.0,0.0,1.3,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Romania,Europe,Base,1.3,0.86,9.79,15.07,0.0,0.0,1.3,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Romania,Europe,Accelerated,1.3,0.86,9.79,15.07,0.0,0.0,1.3,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Romania,Europe,Conservative,1.779,0.86,13.4,20.62,0.0,0.0,1.779,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Romania,Europe,Base,1.953,0.86,14.72,22.64,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Romania,Europe,Accelerated,2.127,0.86,16.03,24.66,0.0,0.0,2.127,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Romania,Europe,Conservative,1.779,0.86,13.4,20.62,0.0,0.0,1.779,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Romania,Europe,Base,1.953,0.86,14.72,22.64,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Romania,Europe,Accelerated,2.127,0.86,16.03,24.66,0.0,0.0,2.127,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Russia,Eurasia,Conservative,30.757,0.86,231.71,19.8,0.0,0.0,30.757,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Russia,Eurasia,Base,31.397,0.86,236.53,20.22,0.0,0.0,31.397,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Russia,Eurasia,Accelerated,32.037,0.86,241.36,20.63,0.0,0.0,32.037,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Russia,Eurasia,Conservative,30.757,0.86,231.71,19.8,0.0,0.0,30.757,Scenario engine using processed reactor pipeline and sample/ingested context
